en,ett
röd,rött
grön,grönt
blå,blått
gul,gult
vit,vitt
grå,grått
svart,svart
orange,orange
rosa,rosa
violett,violett
regnbågsfärgad,regnbågsfärgat
mångfärgad,mångfärgat
rutig,rutigt
schackrutig,schackrutigt
randig,randigt
prickig,prickigt
vågig,vågigt
polerad,polerat
blank,blankt
reflekterande,reflekterande
metallisk,metalliskt
speglande,speglande
böljande,böljande
daggtäckt,daggtäckt
solbelyst,solbelyst
dimhöljd,dimhöljt
månbelyst,månbelyst
stjärnbelyst,stjärnbelyst
officiell,officiellt
erkänd,erkänt
välkänd,välkänt
berömd,berömt
vittbesjungen,vittbesjunget
snabb,snabbt
stark,starkt
kvick,kvickt
nyfiken,nyfiket
listig,listigt
klok,klokt
smidig,smidigt
vaken,vaket
underfundig,underfundigt
arbetssam,arbetssamt
flitig,flitigt
sällskaplig,sällskapligt
omtänksam,omtänksamt
vänlig,vänligt
finurlig,finurligt
påläst,påläst
modig,modigt
verklighetsförankrad,verklighetsförankrat
frisk,friskt
kreativ,kreativt
tydlig,tydligt
fyndig,fyndigt
konstfärdig,konstfärdigt
skarpsynt,skarpsynt
sannfärdig,sannfärdigt
ärlig,ärligt
talför,talfört
bildlig,bildligt
sällsam,sällsamt
sällsynt,sällsynt
tankfull,tankfullt
genomtänkt,genomtänkt
kvicktänkt,kvicktänkt
klartänkt,klartänkt
snabbtänkt,snabbtänkt
uppfinningsrik,uppfinningsrikt
framgångsrik,framgångsrikt
minnesrik,minnesrikt
sinnrik,sinnrikt
konstrik,konstrikt
ovanlig,ovanligt
osedvanlig,osedvanligt
oförutsägbar,oförutsägbart
oförglömlig,oförglömligt
oförtröttlig,oförtröttligt
omisstaglig,omisstagligt
ofelbar,ofelbart
osannolik,osannolikt
otrolig,otroligt
oersättlig,oersättligt
mångfacetterad,mångfacetterat
mångkunnig,mångkunnigt
mångfaldig,mångfaldigt
mångnyttig,mångnyttigt
mångtydig,mångtydigt
magisk,magiskt
mystisk,mystiskt
mytologisk,mytologiskt
legendarisk,legendariskt
mytomspunnen,mytomspunnet
hemlighetsfull,hemlighetsfullt
hemlig,hemligt
förtrollad,förtrollat
sagolik,sagolikt
sägenomspunnen,sägenomspunnet
harmonisk,harmoniskt
proportionell,proportionellt
rytmisk,rytmiskt
välbalanserad,välbalanserat
estetisk,estetiskt
perfekt,perfekt
utmärkt,utmärkt
felfri,felfritt
bra,bra
fantastisk,fantastiskt
poetisk,poetiskt
musikalisk,musikaliskt
vetenskaplig,vetenskapligt
hantverkskunnig,hantverkskunnigt
begåvad,begåvat
